epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2931,2.48704,4.24486,2.23046,0.00076,0.08333,0.00047,0.00019,2.01269,4.48213,1.89796,0,0,0
2,12.1029,2.38438,4.24061,2.07971,0.00076,0.08333,0.00047,0.00019,2.01526,4.46904,1.89103,1.41485e-05,1.41485e-05,1.41485e-05
3,17.921,2.54087,4.31385,2.12298,0.00074,0.08333,0.00047,0.00024,2.0043,4.45479,1.87852,2.80141e-05,2.80141e-05,2.80141e-05
4,23.7023,2.24797,4.17895,2.03757,0.00073,0.08333,0.00047,0.00024,1.95652,4.43929,1.84028,4.15968e-05,4.15968e-05,4.15968e-05
5,29.6037,2.10158,4.17277,1.77937,0.00071,0.08333,0.00047,0.00028,1.92351,4.41799,1.79406,5.48965e-05,5.48965e-05,5.48965e-05
6,35.4738,2.26205,4.21951,1.93223,0.00071,0.08333,0.00049,0.00034,1.89911,4.40335,1.75666,6.79132e-05,6.79132e-05,6.79132e-05
7,41.352,2.12834,4.19503,1.83351,0.00072,0.08333,0.00052,0.00037,1.85781,4.3908,1.72383,8.0647e-05,8.0647e-05,8.0647e-05
8,47.2286,1.98778,3.96157,1.69471,0.00075,0.08333,0.00056,0.00045,1.80344,4.35356,1.67216,9.30979e-05,9.30979e-05,9.30979e-05
9,53.0094,1.85594,3.77592,1.69198,0.00078,0.08333,0.00062,0.00056,1.75134,4.31357,1.60812,0.000105266,0.000105266,0.000105266
10,58.8023,1.99139,3.86803,1.62216,0.00083,0.08333,0.00081,0.00073,1.74391,4.26256,1.53672,0.000117151,0.000117151,0.000117151
11,64.7486,1.91324,3.7678,1.61439,0.0009,0.08333,0.00121,0.00109,1.71324,4.21262,1.50122,0.000128753,0.000128753,0.000128753
12,70.4891,1.94648,3.69391,1.65151,0.00096,0.08333,0.0019,0.00171,1.65993,4.16824,1.45184,0.000140072,0.000140072,0.000140072
13,76.3461,1.96987,3.64945,1.54946,0.001,0.08333,0.003,0.0027,1.58424,4.13934,1.39856,0.000151108,0.000151108,0.000151108
14,82.1416,1.82663,3.57688,1.44656,0.00105,0.08333,0.00374,0.00336,1.58086,4.07693,1.36079,0.000161861,0.000161861,0.000161861
15,87.9487,1.81245,3.27336,1.4449,0.00197,0.10507,0.00513,0.0041,1.57357,4.03743,1.33074,0.000172332,0.000172332,0.000172332
16,93.6898,1.90516,3.41481,1.56809,0.00195,0.10507,0.01108,0.00826,1.57938,3.95686,1.31482,0.000182519,0.000182519,0.000182519
17,99.4554,1.80883,2.9675,1.39072,0.00197,0.10507,0.03025,0.01962,1.51563,3.86176,1.24809,0.000192423,0.000192423,0.000192423
18,105.153,1.85174,2.92194,1.44156,0.00197,0.10507,0.03025,0.01962,1.51563,3.86176,1.24809,0.000202045,0.000202045,0.000202045
19,110.884,1.75916,2.99042,1.3667,0.00565,0.19203,0.04619,0.02838,1.54399,3.77484,1.21311,0.000211383,0.000211383,0.000211383
20,116.688,1.72044,2.85691,1.38272,0.00565,0.19203,0.04619,0.02838,1.54399,3.77484,1.21311,0.000220439,0.000220439,0.000220439
21,122.44,1.85762,2.74762,1.45992,0.0093,0.27899,0.07529,0.04261,1.57676,3.698,1.20668,0.000229212,0.000229212,0.000229212
